idx,relres_fp16,fwd_err_fp16_vs_c128,fwd_err_c64_vs_c128,cond_full_svd
140,0.01702896068970082,0.017516880074711885,2.0052963585748455e-06,1567.8231194030818
141,0.017387391267600995,0.01860159506792701,1.7780852313824505e-06,1569.4286337616031
142,0.01775211718050654,0.013043537197681839,1.3301714759298515e-06,1571.0336941610858
143,0.016676540275533204,0.017396512947915558,1.9934667428185247e-06,1572.6388162964347
144,0.017315544129857825,0.014654396992766805,2.6231102125073576e-06,1574.2445348385559
145,0.01711816060902808,0.022867539779553192,1.596441099326328e-06,1575.851390400512
146,0.017354577370172455,0.016756673208511794,1.9687983754919206e-06,1577.4599150536694
147,0.01658846385939857,0.01589308083386117,2.422394643852714e-06,1579.0706168504398
148,0.017132100429274315,0.017527029806781842,2.2817962328211394e-06,1580.6839639995019
149,0.016623830900246637,0.015302468060629577,1.8151528450709606e-06,1582.3003695226257
150,0.017194131386549343,0.014856495413036658,2.0881599529236833e-06,1583.9201773715001
151,0.017223437876716482,0.01765812035984674,2.3493198574753033e-06,1585.5436511527073
152,0.016919908035631887,0.013899983318272592,2.3013873839837667e-06,1587.1709667329587
153,0.01684255230381337,0.01713616533987908,1.950772810460636e-06,1588.8022098115823
154,0.016236862542952125,0.019581753858733005,1.7729844082862073e-06,1590.4373790081372
155,0.016605131550794985,0.017924585100625518,2.0442498798806577e-06,1592.076394607671
156,0.01720243078152115,0.019042396778221605,1.4983720949515368e-06,1593.7191127244698
157,0.01670991775028166,0.0201984582098624,2.151461196160429e-06,1595.365344339568
158,0.01737612072249961,0.01614024768742742,1.6816599549016263e-06,1597.0148787226601
159,0.01745885368025988,0.01643911100525029,2.8794948919190137e-06,1598.6675104178864
160,0.01718826905965217,0.01800394267447759,2.391622176673247e-06,1600.3230684761327
161,0.01722036600224316,0.01745160998147337,2.4649474542519545e-06,1601.9814469330208
162,0.01735795034065898,0.018355318607981164,2.157382608388368e-06,1603.6426361070562
163,0.01685308803082294,0.013085460292416418,1.8584601783749119e-06,1605.306754718405
164,0.017154382666739194,0.01773064939991186,2.4569363515757257e-06,1606.9740831799525
165,0.016997133252538908,0.02213587540457474,2.053834651093446e-06,1608.6450985089907
166,0.01678833683915333,0.018957493333430817,2.606207920464026e-06,1610.3205107433869
167,0.017522667564061786,0.013989708870491996,1.5150331958985337e-06,1612.0012986991287
168,0.01714403134730748,0.012656858670956837,2.304528826789007e-06,1613.6887380194535
169,0.017188021388932013,0.01382855643602674,1.8909897879410044e-06,1615.3844050355592
170,0.016865846738883288,0.012709431950513016,2.53768803119523e-06,1617.0901257859862
171,0.017459630151036035,0.018637147480152348,1.9502581308043037e-06,1618.807827505467
172,0.01685724451176589,0.013553557530756684,1.8750295505482093e-06,1620.5392615191213
173,0.01804394576111001,0.015431013406488897,2.0352926561246602e-06,1622.2856145319822
174,0.018166812703285188,0.016553233529209878,2.1865082909323312e-06,1624.0471330559044
175,0.017678549308743033,0.016124710520182703,2.151055507785766e-06,1625.8230002749922
176,0.016712619535654165,0.01414844529003949,3.068753091238746e-06,1627.6114969647083
177,0.018409925905947543,0.01327392928207199,1.9677052286912434e-06,1629.4103578767288
178,0.017342358277226515,0.017675144040973527,1.921371888911736e-06,1631.2171465593062
179,0.017515275897814993,0.016089122092649222,1.4479456575558267e-06,1633.0295218139142
180,0.017634557899829,0.016084226995525516,2.2484539881717204e-06,1634.8453748174295
181,0.017697106964889523,0.013233526241548003,2.581864793568113e-06,1636.6628739139505
182,0.0173109669301348,0.016923511415316395,1.8407417349261115e-06,1638.480461046587
183,0.01742924863622017,0.01155999564836818,2.6150189654302487e-06,1640.2968299077259
184,0.01829270109630229,0.015448266330874557,2.06839629589569e-06,1642.1109013324547
185,0.018572058347308545,0.017022725413740846,2.2590033433043125e-06,1643.9218021485758
186,0.01751005871470552,0.015557357682350857,2.1355184197406254e-06,1645.7288534923734
187,0.018735082535921613,0.019076927580351732,2.0580812533840726e-06,1647.5315658487095
188,0.017757763701060546,0.01517905340172221,2.498606748155677e-06,1649.3295814162343
189,0.018005738999678802,0.01588511923918693,1.7689557585903152e-06,1651.1227256404457
190,0.017255179863785747,0.012208625569980267,2.474005743138244e-06,1652.9109819432936
191,0.018116976448637714,0.02039602344757347,1.3595212027916922e-06,1654.6944865959629
192,0.017827267092324045,0.019406742745146657,2.857861471743353e-06,1656.4735240454122
193,0.018504974497234816,0.0237309856245566,2.0014922525902465e-06,1658.2485223812396
194,0.017601754850362715,0.017018194043818435,1.7945165913924713e-06,1660.0200498666168
195,0.01789900653735693,0.016119473044600725,2.1786938329679084e-06,1661.7888162627414
196,0.018095353596101114,0.015091153098993929,2.1764999100373484e-06,1663.5556946711226
197,0.017904076847708297,0.018253776755081195,1.224562090795712e-06,1665.3218573688607
198,0.017684630688030174,0.017729263849647587,2.0111163779985457e-06,1667.0902653769863
199,0.01828486101919768,0.018346292475098856,1.8764174378105313e-06,1668.942885799576
200,0.018062042354321944,0.012930663141737356,1.8784284716935348e-06,1670.917071513999
201,0.018573987928913443,0.012311549816969783,2.635536563706487e-06,1672.9011427093808
