material   : carbon-chain
h5path     : /scratch/yimili/matrices/hdf5/carbon-chain.h5
block size : 104
requested  : idx 0..401 (402 indices)
completed  : 402
failed     : 0

idx  relres_fp16   fwd_err_fp16   fwd_err_c64   cond_full_svd
 116  1.672234e-02  1.421502e-02  2.148663e-06  1.528679e+03
 117  1.644930e-02  2.107875e-02  2.010573e-06  1.530309e+03
 118  1.726148e-02  2.076046e-02  1.450035e-06  1.531950e+03
 119  1.667568e-02  1.914427e-02  1.625514e-06  1.533596e+03
 120  1.631244e-02  2.020741e-02  2.189037e-06  1.535244e+03
 121  1.698558e-02  2.003630e-02  2.370572e-06  1.536892e+03
 122  1.634356e-02  1.645130e-02  1.781310e-06  1.538540e+03
 123  1.640604e-02  1.359414e-02  1.729629e-06  1.540187e+03
 124  1.628648e-02  1.629644e-02  1.731419e-06  1.541832e+03
 125  1.629696e-02  1.917627e-02  2.627989e-06  1.543476e+03
 126  1.661515e-02  1.823920e-02  1.858026e-06  1.545118e+03
 127  1.630451e-02  1.576664e-02  1.709927e-06  1.546757e+03
 128  1.685381e-02  1.906280e-02  1.947167e-06  1.548394e+03
 129  1.706355e-02  1.819590e-02  2.305866e-06  1.550029e+03
 130  1.711837e-02  2.256732e-02  2.309601e-06  1.551660e+03
 131  1.635602e-02  1.386665e-02  2.450359e-06  1.553289e+03
 132  1.627167e-02  1.923901e-02  1.774358e-06  1.554914e+03
 133  1.665851e-02  2.446025e-02  2.162599e-06  1.556537e+03
 134  1.614651e-02  2.035571e-02  2.457363e-06  1.558156e+03
 135  1.762850e-02  1.954856e-02  2.112894e-06  1.559773e+03
 136  1.683698e-02  1.416899e-02  2.521541e-06  1.561387e+03
 137  1.659782e-02  1.841508e-02  1.878064e-06  1.562999e+03
 138  1.685958e-02  1.646990e-02  2.309023e-06  1.564609e+03
 139  1.652568e-02  1.249312e-02  1.717883e-06  1.566217e+03
 140  1.702896e-02  1.751688e-02  2.005296e-06  1.567823e+03
 141  1.738739e-02  1.860160e-02  1.778085e-06  1.569429e+03
 142  1.775212e-02  1.304354e-02  1.330171e-06  1.571034e+03
 143  1.667654e-02  1.739651e-02  1.993467e-06  1.572639e+03
 144  1.731554e-02  1.465440e-02  2.623110e-06  1.574245e+03
 145  1.711816e-02  2.286754e-02  1.596441e-06  1.575851e+03
 146  1.735458e-02  1.675667e-02  1.968798e-06  1.577460e+03
 147  1.658846e-02  1.589308e-02  2.422395e-06  1.579071e+03
 148  1.713210e-02  1.752703e-02  2.281796e-06  1.580684e+03
 149  1.662383e-02  1.530247e-02  1.815153e-06  1.582300e+03
 150  1.719413e-02  1.485650e-02  2.088160e-06  1.583920e+03
 151  1.722344e-02  1.765812e-02  2.349320e-06  1.585544e+03
 152  1.691991e-02  1.389998e-02  2.301387e-06  1.587171e+03
 153  1.684255e-02  1.713617e-02  1.950773e-06  1.588802e+03
 154  1.623686e-02  1.958175e-02  1.772984e-06  1.590437e+03
 155  1.660513e-02  1.792459e-02  2.044250e-06  1.592076e+03
 156  1.720243e-02  1.904240e-02  1.498372e-06  1.593719e+03
 157  1.670992e-02  2.019846e-02  2.151461e-06  1.595365e+03
 158  1.737612e-02  1.614025e-02  1.681660e-06  1.597015e+03
 159  1.745885e-02  1.643911e-02  2.879495e-06  1.598668e+03
 160  1.718827e-02  1.800394e-02  2.391622e-06  1.600323e+03
 161  1.722037e-02  1.745161e-02  2.464947e-06  1.601981e+03
 162  1.735795e-02  1.835532e-02  2.157383e-06  1.603643e+03
 163  1.685309e-02  1.308546e-02  1.858460e-06  1.605307e+03
 164  1.715438e-02  1.773065e-02  2.456936e-06  1.606974e+03
