material   : graphene
h5path     : /scratch/yimili/matrices/hdf5/graphene.h5
block size : 416
requested  : idx 0..401 (402 indices)
completed  : 402
failed     : 0

idx  relres_fp16   fwd_err_fp16   fwd_err_c64   cond_full_svd
 124  5.650799e-02  5.491883e-02  7.720251e-06  3.002517e+03
 125  5.771910e-02  5.199426e-02  5.189475e-06  2.952066e+03
 126  6.123220e-02  4.804833e-02  5.804627e-06  2.914387e+03
 127  6.392537e-02  6.460277e-02  4.473483e-06  2.881164e+03
 128  6.195312e-02  5.812924e-02  5.226379e-06  2.850301e+03
 129  6.350507e-02  5.447109e-02  4.328175e-06  2.824433e+03
 130  6.596423e-02  6.846289e-02  6.403373e-06  2.817308e+03
 131  6.592305e-02  5.927289e-02  5.924671e-06  2.880323e+03
 132  6.730728e-02  7.086688e-02  6.556457e-06  3.075720e+03
 133  7.115399e-02  8.115727e-02  7.658813e-06  3.393328e+03
 134  7.212610e-02  6.585432e-02  1.066843e-05  3.864632e+03
 135  7.435465e-02  8.575517e-02  9.220477e-06  4.684226e+03
 136  8.100653e-02  1.350811e-01  6.023155e-06  6.233493e+03
 137  8.673592e-02  9.934043e-02  6.558123e-06  6.519801e+03
 138  8.614020e-02  7.636026e-02  1.252056e-05  6.720138e+03
 139  8.985815e-02  1.037887e-01  9.155265e-06  6.827445e+03
 140  9.194376e-02  9.808250e-02  9.089825e-06  6.865814e+03
 141  8.280525e-02  1.625056e-01  1.859617e-05  6.900457e+03
 142  7.278742e-02  9.358324e-02  6.765631e-06  7.150371e+03
 143  5.214227e-02  8.327034e-02  1.194745e-05  5.025632e+03
 144  5.802580e-02  6.985540e-02  3.855386e-06  3.666696e+03
 145  5.122021e-02  7.181380e-02  7.633982e-06  3.013153e+03
 146  5.177299e-02  3.807560e-02  4.810475e-06  2.650873e+03
 147  5.179589e-02  3.014655e-02  8.449672e-06  2.458953e+03
 148  5.026472e-02  3.286707e-02  4.378305e-06  2.358913e+03
 149  5.225336e-02  3.505063e-02  4.102574e-06  2.298827e+03
 150  4.578821e-02  2.831819e-02  3.455016e-06  2.254392e+03
 151  4.612620e-02  4.284722e-02  3.187575e-06  2.215383e+03
 152  5.340985e-02  3.737410e-02  3.249989e-06  2.177063e+03
 153  4.415319e-02  3.106589e-02  3.965069e-06  2.136715e+03
 154  4.553069e-02  4.507637e-02  4.237567e-06  2.092137e+03
 155  4.282337e-02  3.287626e-02  3.614071e-06  2.040515e+03
 156  2.623170e-02  1.960814e-02  1.686603e-06  1.580195e+03
 157  2.651383e-02  2.127480e-02  1.890747e-06  1.603961e+03
 158  2.778211e-02  2.160663e-02  1.751398e-06  1.758236e+03
 159  2.928250e-02  2.267642e-02  1.665296e-06  1.943952e+03
 160  2.818474e-02  2.232107e-02  1.609718e-06  2.172485e+03
 161  2.584523e-02  1.868317e-02  1.804235e-06  2.460954e+03
 162  2.757173e-02  2.071401e-02  1.604384e-06  2.836776e+03
 163  2.717070e-02  2.059746e-02  1.567664e-06  3.346939e+03
 164  2.583023e-02  2.390661e-02  1.752657e-06  4.079377e+03
 165  2.595081e-02  2.094891e-02  1.682985e-06  5.220078e+03
 166  2.752871e-02  2.316619e-02  1.907050e-06  7.242644e+03
 167  2.631026e-02  2.062615e-02  1.880784e-06  1.181481e+04
 168  2.790622e-02  2.405553e-02  1.698290e-06  3.198047e+04
 169  2.631206e-02  2.139150e-02  1.836250e-06  4.536518e+04
 170  2.737458e-02  2.239526e-02  1.528560e-06  1.328015e+04
 171  2.757959e-02  2.348200e-02  1.954694e-06  7.781856e+03
 172  2.802673e-02  2.440921e-02  1.805057e-06  9.224211e+03
 173  2.652380e-02  2.346395e-02  1.709126e-06  1.813533e+04
 174  2.793796e-02  2.475480e-02  1.874236e-06  5.179122e+05
 175  2.920973e-02  2.120500e-02  2.121930e-06  1.952284e+04
 176  2.696094e-02  2.040586e-02  1.875266e-06  9.585956e+03
 177  2.838807e-02  2.064222e-02  1.936821e-06  6.354762e+03
 178  2.821526e-02  2.531607e-02  1.663557e-06  4.753926e+03
 179  2.763658e-02  1.856367e-02  1.855830e-06  3.798082e+03
